delivery_id,order_id,distance_km,traffic_level,estimated_time_min,actual_time_min,delivery_status
DEL0000243,ORD0000243,50.48,MEDIUM,86.54,117.6,DELAYED
DEL0000244,ORD0000244,62.35,MEDIUM,106.89,139.52,DELAYED
DEL0000245,ORD0000245,16.87,LOW,28.92,32.9,ON_TIME
DEL0000246,ORD0000246,65.39,SEVERE,112.1,286.38,SEVERELY_DELAYED
DEL0000247,ORD0000247,61.52,LOW,105.46,119.8,ON_TIME
DEL0000248,ORD0000248,44.17,MEDIUM,75.72,95.37,DELAYED
DEL0000249,ORD0000249,92.56,MEDIUM,158.67,234.02,DELAYED
DEL0000250,ORD0000250,105.39,MEDIUM,180.67,208.86,DELAYED
DEL0000251,ORD0000251,23.07,SEVERE,39.55,88.59,SEVERELY_DELAYED
DEL0000252,ORD0000252,65.81,HIGH,112.82,185.11,SEVERELY_DELAYED
DEL0000253,ORD0000253,47.06,LOW,80.67,85.48,ON_TIME
DEL0000254,ORD0000254,60.98,MEDIUM,104.54,119.53,ON_TIME
DEL0000255,ORD0000255,161.3,HIGH,276.51,504.2,SEVERELY_DELAYED
DEL0000256,ORD0000256,54.02,HIGH,92.61,142.03,SEVERELY_DELAYED
DEL0000257,ORD0000257,55.97,MEDIUM,95.95,139.3,DELAYED
DEL0000258,ORD0000258,25.34,MEDIUM,43.44,60.7,DELAYED
DEL0000259,ORD0000259,44.52,HIGH,76.32,125.94,SEVERELY_DELAYED
DEL0000260,ORD0000260,64.39,HIGH,110.38,159.86,DELAYED
DEL0000261,ORD0000261,37.2,MEDIUM,63.77,75.25,DELAYED
DEL0000262,ORD0000262,59.93,MEDIUM,102.74,134.91,DELAYED
DEL0000263,ORD0000263,25.86,LOW,44.33,40.62,ON_TIME
DEL0000264,ORD0000264,124.85,MEDIUM,214.03,250.58,DELAYED
DEL0000265,ORD0000265,69.1,LOW,118.46,129.13,ON_TIME
DEL0000266,ORD0000266,59.29,MEDIUM,101.64,145.01,DELAYED
DEL0000267,ORD0000267,61.95,HIGH,106.2,154.03,DELAYED
DEL0000268,ORD0000268,62.38,LOW,106.94,107.4,ON_TIME
DEL0000269,ORD0000269,39.46,HIGH,67.65,125.13,SEVERELY_DELAYED
DEL0000270,ORD0000270,13.02,SEVERE,22.32,46.37,SEVERELY_DELAYED
DEL0000271,ORD0000271,24.48,MEDIUM,41.97,45.61,ON_TIME
DEL0000272,ORD0000272,48.21,LOW,82.65,92.72,ON_TIME
DEL0000273,ORD0000273,34.76,HIGH,59.59,94.43,SEVERELY_DELAYED
DEL0000274,ORD0000274,39.99,HIGH,68.55,109.51,SEVERELY_DELAYED
DEL0000275,ORD0000275,33.21,LOW,56.93,51.87,ON_TIME
DEL0000276,ORD0000276,71.32,HIGH,122.26,185.22,SEVERELY_DELAYED
DEL0000277,ORD0000277,64.66,MEDIUM,110.85,161.68,DELAYED
DEL0000278,ORD0000278,28.64,HIGH,49.1,86.28,SEVERELY_DELAYED
DEL0000279,ORD0000279,26.44,MEDIUM,45.33,53.21,DELAYED
DEL0000280,ORD0000280,25.21,HIGH,43.22,76.2,SEVERELY_DELAYED
DEL0000281,ORD0000281,43.51,HIGH,74.59,118.14,SEVERELY_DELAYED
DEL0000282,ORD0000282,36.65,MEDIUM,62.83,86.11,DELAYED
DEL0000283,ORD0000283,87.68,LOW,150.31,145.95,ON_TIME
DEL0000284,ORD0000284,59.97,HIGH,102.81,171.55,SEVERELY_DELAYED
DEL0000285,ORD0000285,79.19,LOW,135.75,152.29,ON_TIME
DEL0000286,ORD0000286,42.25,MEDIUM,72.43,86.79,DELAYED
DEL0000287,ORD0000287,174.56,MEDIUM,299.25,367.99,DELAYED
DEL0000288,ORD0000288,29.27,HIGH,50.18,95.76,SEVERELY_DELAYED
DEL0000289,ORD0000289,110.18,LOW,188.88,174.8,ON_TIME
DEL0000290,ORD0000290,33.67,LOW,57.72,49.64,ON_TIME
DEL0000291,ORD0000291,37.11,MEDIUM,63.62,87.47,DELAYED
DEL0000292,ORD0000292,20.92,MEDIUM,35.86,40.65,ON_TIME
DEL0000293,ORD0000293,71.27,LOW,122.18,139.48,ON_TIME
DEL0000294,ORD0000294,48.06,LOW,82.39,81.5,ON_TIME
DEL0000295,ORD0000295,74.55,SEVERE,127.8,315.9,SEVERELY_DELAYED
DEL0000296,ORD0000296,61.46,LOW,105.36,94.47,ON_TIME
DEL0000297,ORD0000297,64.47,HIGH,110.52,156.46,DELAYED
DEL0000298,ORD0000298,38.96,MEDIUM,66.79,71.57,ON_TIME
DEL0000299,ORD0000299,25.8,LOW,44.23,51.99,DELAYED
DEL0000300,ORD0000300,50.55,HIGH,86.66,126.05,DELAYED
DEL0000301,ORD0000301,16.81,MEDIUM,28.82,40.44,DELAYED
DEL0000302,ORD0000302,33.87,HIGH,58.06,103.73,SEVERELY_DELAYED
DEL0000303,ORD0000303,49.37,SEVERE,84.63,165.31,SEVERELY_DELAYED
DEL0000304,ORD0000304,68.51,LOW,117.45,124.23,ON_TIME
DEL0000305,ORD0000305,28.09,MEDIUM,48.15,52.98,ON_TIME
DEL0000306,ORD0000306,19.53,MEDIUM,33.48,48.45,DELAYED
DEL0000307,ORD0000307,87.85,MEDIUM,150.6,205.0,DELAYED
DEL0000308,ORD0000308,29.82,MEDIUM,51.12,67.04,DELAYED
DEL0000309,ORD0000309,19.13,LOW,32.79,27.93,ON_TIME
DEL0000310,ORD0000310,131.85,HIGH,226.03,377.42,SEVERELY_DELAYED
DEL0000311,ORD0000311,52.91,LOW,90.7,93.93,ON_TIME
DEL0000312,ORD0000312,86.99,MEDIUM,149.13,207.7,DELAYED
DEL0000313,ORD0000313,83.75,MEDIUM,143.57,173.15,DELAYED
DEL0000314,ORD0000314,67.78,MEDIUM,116.19,130.51,ON_TIME
DEL0000315,ORD0000315,58.67,MEDIUM,100.58,138.65,DELAYED
DEL0000316,ORD0000316,39.35,HIGH,67.46,122.05,SEVERELY_DELAYED
DEL0000317,ORD0000317,151.09,SEVERE,259.01,628.91,SEVERELY_DELAYED
DEL0000318,ORD0000318,54.18,SEVERE,92.88,205.59,SEVERELY_DELAYED
DEL0000319,ORD0000319,48.85,MEDIUM,83.74,112.45,DELAYED
DEL0000320,ORD0000320,84.8,HIGH,145.37,263.02,SEVERELY_DELAYED
DEL0000321,ORD0000321,15.44,MEDIUM,26.47,34.25,DELAYED
DEL0000322,ORD0000322,13.43,MEDIUM,23.02,33.86,DELAYED
DEL0000323,ORD0000323,73.95,MEDIUM,126.77,137.22,ON_TIME
DEL0000324,ORD0000324,99.34,LOW,170.3,196.63,DELAYED
DEL0000325,ORD0000325,100.1,LOW,171.6,183.89,ON_TIME
DEL0000326,ORD0000326,10.3,MEDIUM,17.66,21.15,DELAYED
DEL0000327,ORD0000327,55.22,MEDIUM,94.66,123.82,DELAYED
DEL0000328,ORD0000328,28.07,MEDIUM,48.12,61.51,DELAYED
DEL0000329,ORD0000329,110.2,HIGH,188.91,302.94,SEVERELY_DELAYED
DEL0000330,ORD0000330,21.11,LOW,36.19,31.74,ON_TIME
DEL0000331,ORD0000331,60.5,MEDIUM,103.71,116.54,ON_TIME
DEL0000332,ORD0000332,45.22,MEDIUM,77.52,83.2,ON_TIME
DEL0000333,ORD0000333,71.74,SEVERE,122.98,317.57,SEVERELY_DELAYED
DEL0000334,ORD0000334,45.53,HIGH,78.05,117.19,SEVERELY_DELAYED
DEL0000335,ORD0000335,17.76,HIGH,30.45,47.26,SEVERELY_DELAYED
DEL0000336,ORD0000336,28.85,MEDIUM,49.46,67.04,DELAYED
DEL0000337,ORD0000337,72.57,MEDIUM,124.41,148.14,DELAYED
DEL0000338,ORD0000338,89.02,HIGH,152.61,269.62,SEVERELY_DELAYED
DEL0000339,ORD0000339,45.65,LOW,78.26,70.24,ON_TIME
DEL0000340,ORD0000340,7.97,MEDIUM,13.66,16.49,DELAYED
DEL0000341,ORD0000341,47.38,HIGH,81.22,132.87,SEVERELY_DELAYED
DEL0000342,ORD0000342,75.2,HIGH,128.91,176.94,DELAYED
DEL0000343,ORD0000343,62.07,LOW,106.41,105.61,ON_TIME
DEL0000344,ORD0000344,12.24,MEDIUM,20.98,27.29,DELAYED
DEL0000345,ORD0000345,147.64,HIGH,253.1,422.66,SEVERELY_DELAYED
DEL0000346,ORD0000346,23.82,MEDIUM,40.83,47.05,DELAYED
DEL0000347,ORD0000347,29.46,HIGH,50.5,73.29,DELAYED
DEL0000348,ORD0000348,48.06,HIGH,82.39,146.77,SEVERELY_DELAYED
DEL0000349,ORD0000349,37.98,MEDIUM,65.11,92.67,DELAYED
