customer_id,city,previous_orders,average_order_value
CUS000083,Hyderabad,9,1598.99
CUS000084,Tumkur,6,1577.57
CUS000085,Chennai,7,1288.48
CUS000086,Hyderabad,5,1948.17
CUS000087,Pune,8,1523.33
CUS000088,Pune,7,1501.59
CUS000089,Mumbai,6,1899.55
CUS000090,Chennai,8,1693.97
CUS000091,Tumkur,5,2128.27
CUS000092,Delhi,10,967.24
CUS000093,Mysore,10,2108.86
CUS000094,Bangalore,8,768.87
CUS000095,Mysore,8,2054.97
CUS000096,Tumkur,7,2955.27
CUS000097,Tumkur,6,3535.66
CUS000098,Pune,7,1162.25
CUS000099,Mysore,7,1978.16
CUS000100,Pune,10,1529.31
CUS000101,Pune,12,842.8
CUS000102,Delhi,8,1756.45
CUS000103,Hyderabad,12,1073.58
CUS000104,Bangalore,9,3425.37
CUS000105,Mysore,4,1395.99
CUS000106,Hyderabad,10,3658.01
CUS000107,Mumbai,4,1776.96
CUS000108,Mysore,11,2032.67
CUS000109,Hyderabad,9,1314.62
CUS000110,Pune,9,3276.43
CUS000111,Tumkur,8,2372.62
CUS000112,Delhi,7,3108.22
CUS000113,Bangalore,9,796.56
CUS000114,Hyderabad,14,2278.5
CUS000115,Tumkur,8,2721.33
CUS000116,Mysore,13,858.6
CUS000117,Hyderabad,7,1422.16
CUS000118,Chennai,7,1927.35
CUS000119,Tumkur,9,2500.68
CUS000120,Mumbai,6,2962.1
CUS000121,Tumkur,10,1876.39
CUS000122,Bangalore,12,1612.11
CUS000123,Mumbai,8,1248.36
CUS000124,Delhi,5,1795.17
CUS000125,Bangalore,8,1114.89
CUS000126,Mysore,7,1765.42
CUS000127,Mumbai,4,1653.24
CUS000128,Hyderabad,6,1253.96
CUS000129,Chennai,6,2200.92
CUS000130,Bangalore,11,2542.04
CUS000131,Chennai,6,2348.23
CUS000132,Mysore,10,1357.16
CUS000133,Mysore,7,828.07
CUS000134,Delhi,12,4919.04
CUS000135,Mysore,10,591.57
CUS000136,Tumkur,8,2033.68
CUS000137,Tumkur,6,1588.23
CUS000138,Delhi,5,3350.43
CUS000139,Tumkur,10,2601.43
CUS000140,Hyderabad,5,1855.62
CUS000141,Pune,4,1938.5
CUS000142,Chennai,6,2267.12
CUS000143,Chennai,9,2793.45
CUS000144,Hyderabad,10,2316.57
CUS000145,Pune,8,2123.2
CUS000146,Mumbai,13,2232.69
CUS000147,Delhi,8,1968.15
CUS000148,Delhi,8,1274.03
CUS000149,Mysore,9,2642.46
CUS000150,Chennai,6,2080.98
CUS000151,Chennai,9,1690.65
CUS000152,Mysore,8,1669.68
CUS000153,Mumbai,9,896.68
CUS000154,Bangalore,9,4336.35
CUS000155,Chennai,8,3335.21
CUS000156,Chennai,9,4071.22
CUS000157,Bangalore,8,1351.76
CUS000158,Mysore,4,1088.57
CUS000159,Bangalore,13,1897.36
CUS000160,Chennai,8,1286.34
CUS000161,Mysore,12,1388.9
CUS000162,Bangalore,7,2166.44
CUS000163,Mumbai,13,1452.01
CUS000164,Mysore,9,3239.43
CUS000165,Chennai,12,1333.08
CUS000166,Hyderabad,6,1646.68
CUS000167,Delhi,7,1281.35
CUS000168,Chennai,6,1752.28
CUS000169,Tumkur,8,2321.02
CUS000170,Delhi,9,5677.92
CUS000171,Chennai,3,2783.74
CUS000172,Delhi,3,1214.13
CUS000173,Pune,9,995.72
CUS000174,Chennai,13,1772.16
CUS000175,Mysore,9,996.61
CUS000176,Mysore,6,1865.61
CUS000177,Pune,4,1107.15
CUS000178,Mumbai,7,930.8
CUS000179,Pune,5,966.52
CUS000180,Pune,8,1406.37
CUS000181,Delhi,11,5054.85
CUS000182,Bangalore,11,1041.48
CUS000183,Mysore,11,2208.0
CUS000184,Bangalore,14,1305.47
CUS000185,Pune,5,3442.63
CUS000186,Mumbai,8,1463.51
CUS000187,Mysore,7,2594.61
CUS000188,Chennai,9,1500.54
CUS000189,Chennai,7,3909.07
CUS000190,Chennai,8,4929.76
CUS000191,Delhi,9,2298.54
CUS000192,Tumkur,13,913.49
CUS000193,Pune,3,1388.68
CUS000194,Tumkur,11,2659.04
CUS000195,Hyderabad,8,2651.92
CUS000196,Delhi,4,3339.13
CUS000197,Chennai,7,1389.86
CUS000198,Mysore,7,1795.41
CUS000199,Delhi,10,2093.89
CUS000200,Mysore,7,917.55
CUS000201,Bangalore,9,1057.78
CUS000202,Bangalore,9,419.61
CUS000203,Mysore,6,3232.36
CUS000204,Chennai,9,1231.29
CUS000205,Tumkur,8,1913.4
CUS000206,Pune,12,880.83
CUS000207,Delhi,8,5070.84
CUS000208,Delhi,11,1060.22
CUS000209,Chennai,6,1208.72
CUS000210,Pune,12,2436.26
CUS000211,Bangalore,6,2648.62
CUS000212,Tumkur,10,3389.81
CUS000213,Pune,9,2337.77
CUS000214,Bangalore,12,1977.9
CUS000215,Pune,7,1454.46
CUS000216,Hyderabad,10,2631.46
CUS000217,Delhi,4,704.44
CUS000218,Hyderabad,10,1559.1
CUS000219,Pune,4,1252.76
CUS000220,Delhi,10,1840.94
CUS000221,Tumkur,12,1590.34
CUS000222,Chennai,9,543.82
CUS000223,Hyderabad,5,2266.56
CUS000224,Chennai,3,972.6
CUS000225,Bangalore,2,1549.05
CUS000226,Bangalore,8,1241.31
CUS000227,Mumbai,9,2739.89
CUS000228,Bangalore,6,1651.21
CUS000229,Bangalore,4,1268.84
CUS000230,Delhi,6,2146.1
CUS000231,Tumkur,7,2576.29
CUS000232,Bangalore,7,2031.66
CUS000233,Mysore,5,1958.49
CUS000234,Tumkur,15,1081.56
CUS000235,Mysore,9,1549.96
CUS000236,Mysore,5,2669.99
CUS000237,Chennai,9,1426.64
CUS000238,Pune,4,1795.02
CUS000239,Mysore,5,1725.52
CUS000240,Chennai,11,2027.36
CUS000241,Bangalore,7,962.25
CUS000242,Mysore,12,1173.19
CUS000243,Pune,6,2065.12
CUS000244,Mumbai,8,4378.92
CUS000245,Hyderabad,11,3065.69
CUS000246,Chennai,12,2021.55
CUS000247,Mumbai,10,1112.28
CUS000248,Chennai,6,907.04
CUS000249,Hyderabad,6,2697.83
CUS000250,Pune,8,2636.34
CUS000251,Tumkur,5,1835.54
CUS000252,Hyderabad,5,2451.13
CUS000253,Delhi,7,1573.1
CUS000254,Mumbai,10,2481.65
CUS000255,Mysore,10,1249.62
CUS000256,Bangalore,6,2821.31
CUS000257,Delhi,0,1322.01
CUS000258,Mysore,4,1822.0
CUS000259,Mysore,7,2061.69
CUS000260,Chennai,10,1991.8
CUS000261,Hyderabad,11,2217.12
CUS000262,Tumkur,6,1698.52
CUS000263,Mumbai,12,3419.66
CUS000264,Mysore,8,2710.89
CUS000265,Chennai,4,843.31
CUS000266,Mumbai,4,1025.66
CUS000267,Hyderabad,7,2585.54
CUS000268,Tumkur,6,2589.17
CUS000269,Delhi,5,2964.12
CUS000270,Hyderabad,9,919.91
CUS000271,Bangalore,10,962.87
CUS000272,Hyderabad,8,1328.52
CUS000273,Mysore,8,1190.86
CUS000274,Tumkur,7,5139.8
CUS000275,Hyderabad,6,2261.83
CUS000276,Mysore,11,2176.66
CUS000277,Mysore,14,1120.78
CUS000278,Tumkur,4,2289.76
CUS000279,Hyderabad,8,1453.37
CUS000280,Hyderabad,7,1749.23
CUS000281,Chennai,13,1820.99
CUS000282,Mumbai,2,1122.18
CUS000283,Chennai,10,1644.91
CUS000284,Hyderabad,8,2866.44
CUS000285,Delhi,7,3036.69
CUS000286,Hyderabad,6,2618.34
CUS000287,Bangalore,2,2553.24
CUS000288,Mysore,5,503.11
CUS000289,Pune,3,3323.21
CUS000290,Hyderabad,12,2725.15
CUS000291,Bangalore,9,2502.95
CUS000292,Bangalore,11,852.74
CUS000293,Mumbai,15,1047.49
CUS000294,Tumkur,5,1489.88
CUS000295,Hyderabad,12,2042.27
CUS000296,Tumkur,8,3616.92
CUS000297,Delhi,7,743.88
CUS000298,Pune,8,2217.92
CUS000299,Bangalore,9,3866.75
CUS000300,Mysore,5,1411.78
CUS000301,Mysore,8,855.54
CUS000302,Tumkur,7,1306.34
CUS000303,Bangalore,7,2712.7
CUS000304,Mumbai,8,1018.28
CUS000305,Tumkur,8,840.88
CUS000306,Pune,8,2338.18
CUS000307,Tumkur,8,4336.37
CUS000308,Bangalore,7,3607.34
CUS000309,Hyderabad,4,4240.8
CUS000310,Mumbai,13,1555.57
CUS000311,Bangalore,10,925.84
CUS000312,Mumbai,9,2556.67
CUS000313,Chennai,6,4335.59
CUS000314,Chennai,4,1086.67
CUS000315,Mysore,9,920.08
CUS000316,Mumbai,12,933.34
CUS000317,Pune,11,1076.52
CUS000318,Tumkur,2,2622.56
CUS000319,Chennai,5,1268.02
CUS000320,Tumkur,5,963.67
CUS000321,Tumkur,10,1808.45
CUS000322,Pune,7,945.22
CUS000323,Bangalore,7,1767.2
CUS000324,Tumkur,6,1233.37
CUS000325,Mumbai,11,3356.72
CUS000326,Pune,7,1438.49
CUS000327,Chennai,8,965.7
CUS000328,Hyderabad,6,866.57
CUS000329,Tumkur,4,2067.85
CUS000330,Mysore,10,3852.6
CUS000331,Pune,11,4467.81
CUS000332,Bangalore,7,1621.29
CUS000333,Delhi,8,1899.14
CUS000334,Chennai,7,1760.91
CUS000335,Chennai,9,1531.01
CUS000336,Delhi,11,2311.78
CUS000337,Mumbai,9,1722.15
CUS000338,Hyderabad,5,1405.44
CUS000339,Chennai,6,2193.83
CUS000340,Chennai,15,3119.69
CUS000341,Bangalore,11,4823.69
CUS000342,Chennai,9,1811.39
CUS000343,Pune,9,510.41
CUS000344,Mumbai,7,1558.84
CUS000345,Hyderabad,7,2476.9
CUS000346,Mysore,9,1209.35
CUS000347,Hyderabad,8,1300.1
CUS000348,Mumbai,4,1271.01
CUS000349,Pune,9,1230.29
CUS000350,Mumbai,6,945.72
CUS000351,Bangalore,6,1982.11
CUS000352,Mysore,6,6950.14
CUS000353,Hyderabad,10,1572.71
CUS000354,Tumkur,10,2758.88
CUS000355,Hyderabad,8,2096.05
CUS000356,Bangalore,6,846.98
CUS000357,Mysore,10,3261.24
CUS000358,Pune,7,1992.32
CUS000359,Mumbai,3,1314.68
CUS000360,Mumbai,5,2273.77
CUS000361,Pune,8,4767.59
CUS000362,Mysore,6,897.4
CUS000363,Pune,7,637.75
CUS000364,Chennai,5,4282.74
CUS000365,Hyderabad,7,1383.45
CUS000366,Bangalore,7,2162.95
CUS000367,Pune,9,3980.09
CUS000368,Bangalore,8,2959.35
CUS000369,Chennai,8,2975.85
CUS000370,Mumbai,6,1431.89
CUS000371,Pune,13,2484.24
CUS000372,Mysore,9,1034.1
CUS000373,Mumbai,8,912.18
CUS000374,Mumbai,12,4883.6
CUS000375,Mysore,4,1027.51
CUS000376,Hyderabad,6,6038.06
CUS000377,Hyderabad,9,1749.37
CUS000378,Pune,4,2264.99
CUS000379,Mumbai,9,1350.46
CUS000380,Pune,6,3038.71
CUS000381,Hyderabad,10,521.04
CUS000382,Tumkur,7,1300.98
CUS000383,Chennai,11,1565.13
CUS000384,Pune,6,1221.85
CUS000385,Pune,6,4347.98
CUS000386,Tumkur,14,1824.75
CUS000387,Hyderabad,12,1724.63
CUS000388,Pune,9,2230.11
CUS000389,Bangalore,8,587.53
CUS000390,Hyderabad,6,3397.04
CUS000391,Hyderabad,4,1499.92
CUS000392,Chennai,6,1402.99
CUS000393,Pune,2,1289.05
CUS000394,Mumbai,7,2987.81
CUS000395,Delhi,8,1710.72
CUS000396,Delhi,5,1154.8
CUS000397,Delhi,9,1437.2
CUS000398,Chennai,4,1277.55
CUS000399,Delhi,9,2645.6
CUS000400,Tumkur,9,1019.48
CUS000401,Mysore,13,3204.47
CUS000402,Hyderabad,8,2007.92
CUS000403,Mumbai,8,1441.51
CUS000404,Mysore,10,2828.1
CUS000405,Chennai,7,1183.91
CUS000406,Hyderabad,5,3377.22
CUS000407,Chennai,5,2992.07
CUS000408,Chennai,7,965.4
CUS000409,Tumkur,12,1706.45
CUS000410,Bangalore,1,2051.44
CUS000411,Bangalore,6,2521.75
CUS000412,Chennai,6,4772.42
CUS000413,Delhi,4,1143.52
CUS000414,Mysore,7,3560.73
CUS000415,Delhi,7,3674.84
CUS000416,Pune,10,521.18
CUS000417,Chennai,11,1436.87
CUS000418,Pune,8,758.2
CUS000419,Delhi,3,833.41
CUS000420,Pune,8,2056.97
CUS000421,Chennai,11,1499.53
CUS000422,Tumkur,10,1672.74
CUS000423,Bangalore,7,1015.7
CUS000424,Mysore,7,777.69
CUS000425,Pune,10,1033.93
CUS000426,Chennai,9,1511.18
CUS000427,Tumkur,6,4847.76
CUS000428,Delhi,10,904.16
CUS000429,Bangalore,7,6746.43
CUS000430,Chennai,9,2358.72
CUS000431,Mysore,7,1561.34
CUS000432,Delhi,11,875.93
CUS000433,Tumkur,7,3641.68
CUS000434,Delhi,6,2385.38
CUS000435,Mumbai,6,1637.81
CUS000436,Delhi,8,1987.35
CUS000437,Pune,4,1416.58
CUS000438,Delhi,3,2725.71
CUS000439,Tumkur,9,1036.12
CUS000440,Delhi,4,4381.23
CUS000441,Delhi,7,2317.16
CUS000442,Hyderabad,9,1383.46
CUS000443,Chennai,11,2247.08
CUS000444,Hyderabad,7,2293.23
CUS000445,Delhi,10,3583.34
CUS000446,Chennai,9,1007.91
CUS000447,Hyderabad,7,2511.09
CUS000448,Delhi,8,2735.4
CUS000449,Mysore,6,1157.93
CUS000450,Hyderabad,6,1752.99
CUS000451,Chennai,12,2347.91
CUS000452,Hyderabad,5,722.41
CUS000453,Mumbai,5,3527.91
CUS000454,Mumbai,8,3265.87
CUS000455,Mysore,9,5038.71
CUS000456,Tumkur,12,1808.66
CUS000457,Tumkur,9,3446.56
CUS000458,Chennai,10,2649.31
CUS000459,Pune,6,2966.44
CUS000460,Tumkur,13,1348.19
CUS000461,Chennai,12,3025.19
CUS000462,Mysore,8,2796.59
CUS000463,Pune,11,2290.5
CUS000464,Pune,7,2888.99
CUS000465,Mumbai,9,1829.77
CUS000466,Delhi,9,1584.33
CUS000467,Pune,8,2317.95
CUS000468,Bangalore,11,3086.79
CUS000469,Chennai,3,1264.79
CUS000470,Pune,5,2346.41
CUS000471,Pune,6,1714.29
CUS000472,Bangalore,7,1441.02
CUS000473,Pune,13,888.4
CUS000474,Delhi,3,1396.09
CUS000475,Bangalore,4,745.81
CUS000476,Mumbai,8,2288.77
CUS000477,Hyderabad,6,1979.37
CUS000478,Pune,6,3469.06
CUS000479,Pune,11,2307.81
CUS000480,Chennai,8,1171.42
CUS000481,Delhi,7,1482.02
CUS000482,Chennai,9,1000.23
CUS000483,Hyderabad,9,1113.14
CUS000484,Pune,7,1482.11
CUS000485,Delhi,8,1534.61
CUS000486,Bangalore,4,2698.74
CUS000487,Pune,5,1801.68
CUS000488,Mumbai,9,1623.27
CUS000489,Pune,10,1603.33
CUS000490,Tumkur,13,784.52
CUS000491,Delhi,11,1370.36
CUS000492,Tumkur,9,4769.49
CUS000493,Bangalore,11,2634.22
CUS000494,Pune,11,998.51
CUS000495,Bangalore,10,2365.67
CUS000496,Mysore,7,2239.69
CUS000497,Pune,10,1504.87
CUS000498,Tumkur,12,1271.04
CUS000499,Delhi,9,4730.2
CUS000500,Tumkur,9,1227.45
CUS000501,Bangalore,7,1824.4
CUS000502,Hyderabad,5,2290.02
CUS000503,Pune,7,1737.96
CUS000504,Mumbai,7,1353.48
CUS000505,Chennai,9,2782.52
CUS000506,Delhi,9,890.59
CUS000507,Mumbai,7,1716.13
CUS000508,Mumbai,10,2200.97
CUS000509,Pune,9,1666.34
CUS000510,Hyderabad,5,4063.96
CUS000511,Pune,7,1755.69
CUS000512,Hyderabad,12,1404.58
CUS000513,Mysore,9,853.96
CUS000514,Delhi,12,1224.86
CUS000515,Bangalore,7,957.47
CUS000516,Bangalore,7,1721.25
CUS000517,Mumbai,5,1570.42
CUS000518,Chennai,14,1899.32
CUS000519,Mysore,9,1819.68
CUS000520,Bangalore,6,2298.27
CUS000521,Bangalore,9,1720.82
CUS000522,Chennai,6,2944.93
CUS000523,Chennai,3,5851.99
CUS000524,Bangalore,3,1263.93
CUS000525,Tumkur,14,793.59
CUS000526,Chennai,5,2446.21
CUS000527,Tumkur,5,1669.3
CUS000528,Delhi,5,2241.8
CUS000529,Mysore,4,4574.82
CUS000530,Chennai,11,1421.0
CUS000531,Delhi,10,1732.97
CUS000532,Hyderabad,8,3847.02
CUS000533,Mumbai,12,583.68
CUS000534,Tumkur,12,1151.6
CUS000535,Mysore,4,1722.33
CUS000536,Tumkur,9,667.1
CUS000537,Hyderabad,7,1686.61
CUS000538,Mysore,5,3302.87
CUS000539,Bangalore,6,1110.91
CUS000540,Hyderabad,8,2570.14
CUS000541,Pune,9,764.65
CUS000542,Pune,13,1143.59
CUS000543,Chennai,10,1765.72
CUS000544,Mysore,6,819.68
CUS000545,Chennai,12,1390.17
CUS000546,Mysore,6,1837.58
CUS000547,Hyderabad,7,2819.7
CUS000548,Mysore,4,2165.92
CUS000549,Bangalore,8,1151.3
CUS000550,Mumbai,7,2902.9
CUS000551,Pune,13,3105.29
CUS000552,Mumbai,9,1439.15
CUS000553,Mysore,9,1539.18
CUS000554,Mumbai,11,1909.13
CUS000555,Bangalore,7,1625.79
CUS000556,Pune,6,3259.97
CUS000557,Delhi,4,1896.69
CUS000558,Mysore,6,1343.91
CUS000559,Pune,7,2765.67
CUS000560,Mumbai,10,2227.96
CUS000561,Delhi,8,1184.91
CUS000562,Tumkur,8,2384.38
CUS000563,Pune,10,1119.47
CUS000564,Tumkur,8,919.42
CUS000565,Hyderabad,8,1654.15
CUS000566,Delhi,5,1145.5
CUS000567,Delhi,10,2940.42
CUS000568,Pune,14,1710.83
CUS000569,Hyderabad,11,2220.03
CUS000570,Mumbai,7,1610.77
CUS000571,Chennai,6,1600.16
CUS000572,Mysore,12,2246.54
CUS000573,Hyderabad,5,1003.77
CUS000574,Delhi,5,4492.98
CUS000575,Chennai,10,1638.45
CUS000576,Delhi,13,1332.23
CUS000577,Pune,5,966.1
CUS000578,Mumbai,6,1828.45
CUS000579,Bangalore,4,4135.56
CUS000580,Delhi,10,1348.39
CUS000581,Mumbai,13,2486.58
CUS000582,Tumkur,10,4056.8
CUS000583,Delhi,6,2589.47
CUS000584,Chennai,8,1670.91
CUS000585,Mumbai,10,3772.59
CUS000586,Hyderabad,6,1274.43
CUS000587,Mumbai,7,2245.62
CUS000588,Hyderabad,9,1402.09
CUS000589,Hyderabad,13,1926.01
CUS000590,Bangalore,4,1003.45
CUS000591,Chennai,6,654.26
CUS000592,Mysore,8,5198.76
CUS000593,Chennai,9,1809.51
CUS000594,Pune,9,2224.72
CUS000595,Delhi,5,855.23
CUS000596,Chennai,9,3430.53
CUS000597,Delhi,11,1786.27
CUS000598,Delhi,11,3298.51
CUS000599,Delhi,6,1761.75
CUS000600,Bangalore,10,1688.9
CUS000601,Mysore,6,1513.89
CUS000602,Hyderabad,8,2224.78
CUS000603,Chennai,12,1854.31
CUS000604,Pune,6,3808.16
CUS000605,Chennai,6,1204.5
CUS000606,Hyderabad,9,1566.37
CUS000607,Mumbai,3,1288.72
CUS000608,Delhi,7,2225.59
CUS000609,Mumbai,4,8420.55
CUS000610,Pune,6,3569.06
CUS000611,Mumbai,6,2971.7
CUS000612,Mumbai,7,3593.77
CUS000613,Delhi,9,1061.98
CUS000614,Hyderabad,7,1799.16
CUS000615,Hyderabad,6,3519.37
CUS000616,Hyderabad,12,713.0
CUS000617,Chennai,7,3128.39
CUS000618,Mysore,11,604.48
CUS000619,Chennai,8,3016.61
CUS000620,Mumbai,11,1477.76
CUS000621,Mysore,10,3883.04
CUS000622,Tumkur,10,1736.24
CUS000623,Chennai,9,1165.93
CUS000624,Chennai,5,543.33
CUS000625,Delhi,7,1547.39
CUS000626,Hyderabad,5,3340.59
CUS000627,Hyderabad,9,814.86
CUS000628,Mysore,11,1627.56
CUS000629,Chennai,7,1589.86
CUS000630,Hyderabad,10,806.97
CUS000631,Chennai,10,1928.95
CUS000632,Mumbai,7,669.93
CUS000633,Tumkur,8,2452.25
CUS000634,Hyderabad,10,830.74
CUS000635,Bangalore,3,2312.21
CUS000636,Tumkur,9,1845.61
CUS000637,Hyderabad,6,1232.21
CUS000638,Bangalore,13,1870.64
CUS000639,Bangalore,5,4174.22
CUS000640,Hyderabad,7,1346.51
CUS000641,Tumkur,5,1948.47
CUS000642,Delhi,11,1898.68
CUS000643,Mysore,6,1461.99
CUS000644,Bangalore,5,3068.71
CUS000645,Hyderabad,10,1936.58
CUS000646,Delhi,5,7778.25
CUS000647,Delhi,8,1017.98
CUS000648,Delhi,6,2055.02
CUS000649,Mumbai,7,1503.47
CUS000650,Tumkur,7,2012.04
CUS000651,Bangalore,10,1905.75
CUS000652,Hyderabad,8,3619.53
CUS000653,Delhi,6,1475.87
CUS000654,Mysore,10,506.05
CUS000655,Mysore,10,2803.64
CUS000656,Pune,8,1638.62
CUS000657,Delhi,6,2277.0
CUS000658,Mysore,7,2088.98
CUS000659,Bangalore,7,2338.67
CUS000660,Tumkur,5,1497.54
CUS000661,Tumkur,10,3971.37
CUS000662,Hyderabad,9,2271.84
CUS000663,Mysore,9,1577.81
CUS000664,Chennai,7,3350.49
CUS000665,Mysore,5,3109.13
CUS000666,Pune,9,2008.52
CUS000667,Chennai,3,1229.21
CUS000668,Pune,8,1409.54
CUS000669,Delhi,8,1575.93
CUS000670,Delhi,13,601.47
CUS000671,Hyderabad,5,1643.99
CUS000672,Pune,8,855.15
CUS000673,Hyderabad,12,1348.56
CUS000674,Bangalore,10,1326.25
CUS000675,Mysore,6,929.5
CUS000676,Chennai,6,608.51
CUS000677,Chennai,8,701.78
CUS000678,Hyderabad,8,2112.75
CUS000679,Mysore,7,2544.92
CUS000680,Tumkur,11,1760.55
CUS000681,Chennai,3,937.22
CUS000682,Tumkur,7,2688.33
CUS000683,Mysore,8,2121.72
CUS000684,Tumkur,7,894.74
CUS000685,Bangalore,11,3857.3
CUS000686,Pune,5,2188.27
CUS000687,Delhi,6,1845.58
CUS000688,Delhi,9,2438.08
CUS000689,Hyderabad,8,1963.93
CUS000690,Bangalore,7,905.96
CUS000691,Chennai,9,2326.9
CUS000692,Hyderabad,3,2473.2
CUS000693,Hyderabad,6,1492.78
CUS000694,Delhi,9,2370.53
CUS000695,Mysore,10,5003.72
CUS000696,Chennai,7,2285.84
CUS000697,Hyderabad,9,1836.74
CUS000698,Chennai,6,2553.03
CUS000699,Pune,6,4675.7
CUS000700,Mysore,7,3015.52
CUS000701,Chennai,7,3173.11
CUS000702,Tumkur,4,756.43
CUS000703,Hyderabad,5,2305.57
CUS000704,Tumkur,10,1536.64
CUS000705,Mysore,7,2197.74
CUS000706,Bangalore,9,1674.13
CUS000707,Tumkur,11,2679.01
CUS000708,Hyderabad,9,1366.8
CUS000709,Hyderabad,8,2048.14
CUS000710,Delhi,10,1797.1
CUS000711,Mysore,9,1123.73
CUS000712,Delhi,7,1523.99
CUS000713,Hyderabad,9,1480.37
CUS000714,Pune,6,1245.65
CUS000715,Hyderabad,8,1888.44
CUS000716,Delhi,8,1076.99
CUS000717,Delhi,5,802.82
CUS000718,Mysore,2,1502.74
CUS000719,Bangalore,6,1902.41
CUS000720,Pune,4,2136.03
CUS000721,Mumbai,6,8475.58
CUS000722,Hyderabad,7,2079.96
CUS000723,Bangalore,7,2931.51
CUS000724,Mysore,5,1289.27
CUS000725,Chennai,9,1356.42
CUS000726,Bangalore,9,1328.34
CUS000727,Hyderabad,11,1659.31
CUS000728,Bangalore,7,2256.61
CUS000729,Tumkur,13,1126.72
CUS000730,Delhi,6,2059.01
CUS000731,Delhi,9,1959.21
CUS000732,Hyderabad,6,3572.66
CUS000733,Tumkur,10,2592.81
CUS000734,Pune,6,1376.65
CUS000735,Delhi,8,1529.35
CUS000736,Mysore,4,737.33
CUS000737,Delhi,5,916.0
CUS000738,Mumbai,8,3340.58
CUS000739,Pune,10,3134.84
CUS000740,Mumbai,9,1494.57
CUS000741,Mumbai,4,1655.62
CUS000742,Mysore,11,424.22
CUS000743,Tumkur,7,2495.04
CUS000744,Mumbai,7,1883.7
CUS000745,Pune,7,4174.38
CUS000746,Delhi,7,2254.93
CUS000747,Hyderabad,9,1935.84
CUS000748,Pune,8,1831.14
CUS000749,Bangalore,9,1810.31
CUS000750,Delhi,6,4467.27
CUS000751,Mysore,3,4132.57
CUS000752,Mumbai,4,2468.94
CUS000753,Hyderabad,7,2319.95
CUS000754,Mumbai,4,2635.6
CUS000755,Mysore,10,1296.96
CUS000756,Pune,11,1081.86
CUS000757,Bangalore,12,3089.48
CUS000758,Delhi,3,851.27
CUS000759,Pune,7,2724.71
CUS000760,Bangalore,9,2720.72
CUS000761,Chennai,13,1853.19
