decision,source,route,transfers,vehicle_id,vehicle_capacity_kg,vehicle_volume_m3,weight,volume,weight_utilization,volume_utilization,overall_utilization,fuel_efficiency,distance,route_time,fuel,fuel_cost,separate_cost,savings,savings_percent,deadline,urgency,reason
SEPARATE,WH03,WH03 → WH04 → WH03,TRF00029,VEH001,1000.0,10.0,12.78,2.997,1.278,29.969999999999995,15.623999999999997,10.8,860.0,22.5,79.62962962962962,7962.962962962962,3981.481481481481,0.0,0.0,ON_TIME,NORMAL,Consolidation rejected because it does not provide sufficient cost benefit or deadline safety.
SEPARATE,WH03,WH03 → WH05 → WH03,TRF00012,VEH001,1000.0,10.0,307.58,6.396,30.757999999999996,63.959999999999994,47.358999999999995,10.8,1400.0,36.0,129.62962962962962,12962.962962962962,6481.481481481481,0.0,0.0,ON_TIME,NORMAL,Consolidation rejected because it does not provide sufficient cost benefit or deadline safety.
SEPARATE,WH04,WH04 → WH02 → WH04,TRF00018,VEH031,1000.0,10.0,38.7,2.03,3.8700000000000006,20.299999999999997,12.084999999999999,17.03,670.0,17.75,39.34233705226072,3934.233705226072,1967.116852613036,0.0,0.0,ON_TIME,NORMAL,Consolidation rejected because it does not provide sufficient cost benefit or deadline safety.
SEPARATE,WH04,WH04 → WH03 → WH04,"TRF00006,TRF00020",VEH031,1000.0,10.0,238.82,3.009,23.882,30.09,26.986,17.03,860.0,22.5,50.49911920140928,5049.911920140928,5049.911920140928,0.0,0.0,ON_TIME,SOON,Consolidation rejected because it does not provide sufficient cost benefit or deadline safety.
SEPARATE,WH04,WH04 → WH05 → WH04,TRF00023,VEH031,1000.0,10.0,44.46,1.854,4.446,18.54,11.492999999999999,17.03,1260.0,32.5,73.9870816206694,7398.70816206694,3699.35408103347,0.0,0.0,ON_TIME,NORMAL,Consolidation rejected because it does not provide sufficient cost benefit or deadline safety.
URGENT_SEPARATE,WH05,WH05 → WH02 → WH05,TRF00015,VEH040,5000.0,50.0,194.16,4.692,3.8832,9.384,6.6336,16.92,1120.0,29.0,66.19385342789597,6619.385342789597,3309.6926713947987,0.0,0.0,MISSED_DEADLINE,URGENT,Urgent shipment protected from consolidation delay.
URGENT_SEPARATE,WH05,WH05 → WH04 → WH05,TRF00021,VEH040,5000.0,50.0,89.28,1.308,1.7856,2.616,2.2008,16.92,1260.0,32.5,74.46808510638297,7446.808510638297,3723.4042553191484,0.0,0.0,MISSED_DEADLINE,URGENT,Urgent shipment protected from consolidation delay.
URGENT_SEPARATE,WH05,WH05 → WH01 → WH05,TRF00028,VEH040,5000.0,50.0,110.52,2.208,2.2104,4.416,3.3132,16.92,1150.0,29.75,67.96690307328605,6796.690307328605,3398.3451536643024,0.0,0.0,MISSED_DEADLINE,URGENT,Urgent shipment protected from consolidation delay.
CONSOLIDATE,WH05,WH05 → WH02 → WH05,"TRF00004,TRF00014,TRF00027",VEH040,5000.0,50.0,459.08,4.486,9.1816,8.972,9.076799999999999,16.92,1120.0,29.0,66.19385342789597,6619.385342789597,9929.078014184397,3309.6926713947996,33.333333333333336,ON_TIME,SOON,Compatible shipments combined with cost savings while preserving deadline feasibility.
CONSOLIDATE,WH05,WH05 → WH03 → WH05,"TRF00005,TRF00008,TRF00019",VEH040,5000.0,50.0,138.71,2.137,2.7742000000000004,4.274,3.5241000000000002,16.92,1400.0,36.0,82.74231678486996,8274.231678486996,12411.347517730494,4137.115839243497,33.33333333333333,ON_TIME,SOON,Compatible shipments combined with cost savings while preserving deadline feasibility.
