product_id,category,price,weight_kg,volume_m3
PRD00117,Fashion,323.15,16.06,0.385
PRD00118,Mobile,610.92,8.69,0.42
PRD00119,Electronics,3921.91,18.16,0.078
PRD00120,Fashion,1422.95,18.31,0.415
PRD00121,Grocery,624.47,9.22,0.421
PRD00122,Accessories,1125.58,2.62,0.079
PRD00123,Electronics,1207.75,7.67,0.41
PRD00124,Grocery,483.56,14.6,0.338
PRD00125,Grocery,1025.96,9.33,0.254
PRD00126,Accessories,230.15,17.24,0.231
PRD00127,Electronics,948.69,22.22,0.413
PRD00128,Home,674.33,20.84,0.099
PRD00129,Home,1192.22,17.21,0.466
PRD00130,Grocery,5868.17,3.31,0.093
PRD00131,Laptop,4062.37,16.13,0.134
PRD00132,Grocery,1937.31,15.59,0.285
PRD00133,Electronics,1155.98,11.33,0.428
PRD00134,Fashion,893.39,16.42,0.278
PRD00135,Electronics,1395.9,6.34,0.239
PRD00136,Beauty,1963.37,16.84,0.412
PRD00137,Electronics,2416.72,17.1,0.082
PRD00138,Beauty,515.02,3.91,0.256
PRD00139,Fashion,480.05,2.28,0.45
PRD00140,Home,897.56,4.87,0.19
PRD00141,Electronics,559.25,3.54,0.267
PRD00142,Beauty,1038.3,17.51,0.424
PRD00143,Grocery,1224.76,7.24,0.294
PRD00144,Grocery,2669.38,15.61,0.151
PRD00145,Electronics,495.57,7.47,0.466
PRD00146,Mobile,1648.57,12.8,0.084
PRD00147,Grocery,440.52,0.97,0.437
PRD00148,Fashion,1935.87,10.92,0.391
PRD00149,Accessories,1318.94,2.51,0.167
PRD00150,Grocery,2671.02,6.4,0.306
PRD00151,Fashion,292.58,16.4,0.026
PRD00152,Laptop,286.51,3.39,0.445
PRD00153,Grocery,669.37,2.88,0.324
PRD00154,Accessories,445.21,19.56,0.313
PRD00155,Home,3063.36,2.3,0.374
PRD00156,Laptop,1521.93,22.32,0.327
PRD00157,Electronics,2587.15,20.61,0.204
PRD00158,Fashion,3304.52,21.47,0.142
PRD00159,Fashion,1012.35,14.92,0.321
PRD00160,Mobile,526.18,14.16,0.111
PRD00161,Home,843.32,20.66,0.36
PRD00162,Fashion,1528.85,8.95,0.217
PRD00163,Beauty,2071.14,1.95,0.05
PRD00164,Grocery,461.58,11.33,0.019
PRD00165,Electronics,924.24,9.59,0.17
PRD00166,Fashion,2033.55,7.54,0.056
PRD00167,Beauty,345.55,8.74,0.175
PRD00168,Fashion,1813.65,8.56,0.441
PRD00169,Fashion,2613.9,19.62,0.161
PRD00170,Electronics,87.56,19.04,0.098
PRD00171,Mobile,598.69,17.25,0.24
PRD00172,Fashion,1562.54,1.72,0.304
PRD00173,Beauty,497.34,23.39,0.121
PRD00174,Fashion,1822.75,7.85,0.371
PRD00175,Laptop,3104.25,3.06,0.413
PRD00176,Accessories,1977.19,14.26,0.387
PRD00177,Accessories,1258.93,17.27,0.252
PRD00178,Electronics,635.8,20.9,0.47
PRD00179,Accessories,1004.64,1.55,0.054
PRD00180,Electronics,3784.9,5.77,0.012
PRD00181,Accessories,182.46,1.24,0.128
PRD00182,Electronics,724.9,18.53,0.406
PRD00183,Beauty,497.4,12.66,0.259
PRD00184,Accessories,3683.36,8.76,0.348
PRD00185,Home,1834.81,0.27,0.444
PRD00186,Grocery,1193.01,23.73,0.082
PRD00187,Electronics,1869.39,5.5,0.428
PRD00188,Mobile,397.64,22.87,0.024
PRD00189,Fashion,824.88,15.52,0.18
PRD00190,Beauty,1101.11,21.16,0.46
PRD00191,Mobile,1816.51,21.68,0.057
PRD00192,Accessories,1094.77,8.97,0.177
PRD00193,Laptop,2385.08,7.59,0.196
PRD00194,Fashion,656.57,2.24,0.265
PRD00195,Fashion,657.86,0.21,0.045
PRD00196,Fashion,2371.04,5.53,0.254
PRD00197,Accessories,746.53,17.74,0.278
PRD00198,Laptop,1368.85,15.53,0.465
PRD00199,Home,2551.43,16.86,0.015
PRD00200,Laptop,2036.91,24.92,0.322
PRD00201,Laptop,101.93,5.93,0.244
PRD00202,Electronics,620.38,18.36,0.135
PRD00203,Home,786.74,21.47,0.296
PRD00204,Mobile,1630.01,20.96,0.214
PRD00205,Electronics,2811.49,9.14,0.477
PRD00206,Laptop,468.07,18.54,0.22
PRD00207,Accessories,1306.45,14.93,0.485
PRD00208,Beauty,398.99,18.62,0.134
PRD00209,Electronics,1674.56,3.07,0.351
PRD00210,Home,311.65,2.07,0.291
PRD00211,Electronics,1599.7,23.23,0.466
PRD00212,Fashion,1844.93,4.14,0.122
PRD00213,Fashion,943.94,9.56,0.03
PRD00214,Electronics,1454.41,22.49,0.045
PRD00215,Beauty,328.92,0.78,0.152
PRD00216,Electronics,1245.76,16.63,0.054
PRD00217,Home,1574.39,1.55,0.208
PRD00218,Beauty,2126.95,20.24,0.467
PRD00219,Mobile,3545.68,21.93,0.233
PRD00220,Mobile,2528.39,17.71,0.293
PRD00221,Accessories,1913.85,19.77,0.072
PRD00222,Mobile,1456.83,23.31,0.034
PRD00223,Mobile,572.19,19.52,0.017
PRD00224,Home,2387.29,5.59,0.049
PRD00225,Home,605.64,23.2,0.211
PRD00226,Beauty,1789.96,18.01,0.414
PRD00227,Beauty,1052.02,16.81,0.189
PRD00228,Grocery,1791.76,7.16,0.347
PRD00229,Mobile,3472.68,5.04,0.36
PRD00230,Grocery,238.86,24.24,0.274
PRD00231,Fashion,2794.53,3.87,0.203
PRD00232,Laptop,1156.2,4.43,0.278
PRD00233,Electronics,1994.65,20.79,0.327
PRD00234,Beauty,1297.46,19.39,0.318
PRD00235,Beauty,685.79,0.71,0.428
PRD00236,Beauty,1180.38,7.12,0.182
PRD00237,Grocery,694.4,24.04,0.06
PRD00238,Beauty,1042.56,24.21,0.357
PRD00239,Accessories,1778.63,16.2,0.278
PRD00240,Fashion,1036.77,16.82,0.101
PRD00241,Electronics,551.31,7.11,0.303
PRD00242,Laptop,2331.05,0.63,0.036
PRD00243,Beauty,698.17,9.21,0.184
PRD00244,Electronics,7474.53,21.5,0.048
PRD00245,Fashion,1769.77,16.01,0.133
PRD00246,Laptop,1082.6,24.56,0.409
PRD00247,Electronics,2208.69,13.95,0.312
PRD00248,Mobile,295.21,3.15,0.326
PRD00249,Home,642.52,13.68,0.114
PRD00250,Beauty,470.72,22.32,0.215
PRD00251,Beauty,1742.14,2.09,0.276
PRD00252,Home,1630.76,16.37,0.455
PRD00253,Grocery,980.83,3.07,0.22
PRD00254,Electronics,787.89,9.37,0.302
PRD00255,Laptop,1244.49,4.16,0.402
PRD00256,Grocery,1150.19,21.17,0.287
PRD00257,Mobile,673.97,0.96,0.084
PRD00258,Mobile,2784.37,4.27,0.439
PRD00259,Home,1006.86,16.44,0.159
PRD00260,Grocery,1638.62,11.19,0.314
PRD00261,Mobile,914.32,17.51,0.132
PRD00262,Electronics,2655.61,8.28,0.118
PRD00263,Accessories,1810.1,16.29,0.44
PRD00264,Accessories,3059.42,13.32,0.047
PRD00265,Beauty,933.18,0.84,0.271
PRD00266,Fashion,1682.23,9.03,0.457
PRD00267,Home,641.13,6.03,0.119
PRD00268,Fashion,1110.83,19.13,0.042
PRD00269,Home,2828.18,15.37,0.327
PRD00270,Beauty,416.45,14.03,0.096
PRD00271,Home,1441.76,1.12,0.187
PRD00272,Beauty,1218.99,7.36,0.083
PRD00273,Home,2968.98,12.64,0.164
PRD00274,Accessories,3883.68,24.41,0.313
PRD00275,Beauty,836.12,18.9,0.013
PRD00276,Mobile,1885.23,16.95,0.377
PRD00277,Home,171.82,4.71,0.086
PRD00278,Accessories,1069.93,5.25,0.273
PRD00279,Grocery,5279.26,21.5,0.011
PRD00280,Beauty,7218.04,6.75,0.444
PRD00281,Mobile,2466.99,14.64,0.282
PRD00282,Beauty,699.73,23.13,0.249
PRD00283,Mobile,2857.69,3.84,0.096
PRD00284,Beauty,814.14,9.61,0.465
PRD00285,Accessories,836.44,0.54,0.267
PRD00286,Home,5539.66,10.45,0.397
PRD00287,Accessories,1542.44,2.89,0.458
PRD00288,Grocery,1144.42,9.55,0.259
PRD00289,Home,1561.01,23.66,0.492
PRD00290,Laptop,2153.27,16.07,0.284
PRD00291,Home,553.32,6.42,0.395
PRD00292,Grocery,516.68,15.43,0.371
PRD00293,Laptop,1857.86,23.23,0.219
PRD00294,Fashion,1317.93,17.88,0.415
PRD00295,Fashion,1014.16,6.56,0.053
PRD00296,Beauty,282.25,17.48,0.29
PRD00297,Beauty,378.15,4.82,0.147
PRD00298,Mobile,757.08,24.56,0.482
PRD00299,Mobile,1653.67,23.47,0.239
PRD00300,Grocery,1869.12,12.92,0.288
PRD00301,Grocery,239.76,4.12,0.359
PRD00302,Laptop,1595.89,22.82,0.337
PRD00303,Accessories,1172.14,12.68,0.493
PRD00304,Home,3071.48,24.86,0.308
PRD00305,Laptop,353.56,16.83,0.12
PRD00306,Accessories,348.71,24.51,0.359
PRD00307,Electronics,785.37,5.67,0.052
PRD00308,Laptop,476.83,16.16,0.061
PRD00309,Mobile,4065.77,4.11,0.443
PRD00310,Grocery,491.45,4.7,0.309
PRD00311,Fashion,3314.46,13.51,0.156
PRD00312,Accessories,437.75,15.49,0.229
PRD00313,Mobile,409.32,9.05,0.261
PRD00314,Laptop,318.82,9.57,0.167
PRD00315,Electronics,464.11,5.32,0.15
PRD00316,Grocery,634.18,24.31,0.11
PRD00317,Electronics,2200.35,0.39,0.306
PRD00318,Laptop,997.79,21.77,0.092
PRD00319,Mobile,1656.22,20.55,0.045
PRD00320,Laptop,2650.34,1.87,0.08
PRD00321,Grocery,2436.86,6.45,0.114
PRD00322,Grocery,8361.99,5.94,0.368
PRD00323,Beauty,1123.62,20.86,0.039
PRD00324,Laptop,6875.13,1.0,0.412
PRD00325,Grocery,4545.67,10.17,0.225
PRD00326,Home,534.44,0.66,0.27
PRD00327,Fashion,1015.57,3.5,0.117
PRD00328,Mobile,862.55,22.7,0.485
PRD00329,Beauty,1145.72,12.14,0.2
PRD00330,Beauty,2831.43,16.37,0.099
PRD00331,Mobile,777.6,1.73,0.479
PRD00332,Electronics,2753.6,1.38,0.011
PRD00333,Mobile,2438.3,21.14,0.297
PRD00334,Beauty,550.83,11.56,0.017
PRD00335,Accessories,650.26,5.56,0.044
PRD00336,Grocery,906.08,22.43,0.357
PRD00337,Accessories,2000.67,5.29,0.477
PRD00338,Grocery,1028.93,1.95,0.402
PRD00339,Fashion,565.58,16.57,0.321
PRD00340,Accessories,805.74,23.36,0.145
PRD00341,Laptop,1180.05,11.46,0.214
PRD00342,Laptop,1148.59,9.28,0.492
PRD00343,Mobile,1945.85,11.29,0.442
PRD00344,Laptop,1270.31,11.62,0.087
PRD00345,Electronics,2440.54,0.95,0.149
PRD00346,Beauty,1359.05,23.66,0.142
PRD00347,Accessories,293.19,6.59,0.202
PRD00348,Grocery,503.25,21.31,0.172
PRD00349,Beauty,483.63,4.61,0.405
PRD00350,Accessories,2111.24,3.28,0.389
PRD00351,Laptop,1741.08,11.57,0.272
PRD00352,Fashion,6239.8,3.22,0.131
PRD00353,Mobile,1821.24,17.75,0.433
PRD00354,Home,2432.12,17.58,0.182
PRD00355,Fashion,734.2,11.63,0.144
PRD00356,Accessories,341.11,7.41,0.358
PRD00357,Beauty,1844.42,6.51,0.209
PRD00358,Electronics,620.84,6.96,0.413
PRD00359,Grocery,1367.73,15.06,0.018
PRD00360,Fashion,1044.33,20.4,0.348
PRD00361,Beauty,547.95,12.36,0.337
PRD00362,Grocery,527.98,22.5,0.091
PRD00363,Beauty,1658.21,8.01,0.121
PRD00364,Laptop,545.83,17.22,0.04
PRD00365,Laptop,6260.46,9.68,0.072
PRD00366,Electronics,1617.43,8.63,0.221
PRD00367,Home,1059.93,8.54,0.451
PRD00368,Grocery,404.85,1.7,0.338
PRD00369,Fashion,1981.7,13.09,0.066
PRD00370,Beauty,3660.54,15.24,0.288
PRD00371,Mobile,2111.18,3.82,0.351
PRD00372,Beauty,1215.66,11.51,0.076
PRD00373,Fashion,1138.51,7.69,0.477
PRD00374,Laptop,911.2,15.85,0.384
PRD00375,Mobile,295.66,19.21,0.239
PRD00376,Fashion,755.27,24.99,0.3
PRD00377,Fashion,746.75,10.73,0.128
PRD00378,Accessories,2049.43,19.41,0.381
PRD00379,Accessories,3789.45,9.08,0.44
PRD00380,Home,1803.14,23.07,0.335
PRD00381,Laptop,2547.15,24.52,0.294
PRD00382,Fashion,801.74,16.53,0.427
PRD00383,Fashion,476.27,10.64,0.31
PRD00384,Mobile,1763.27,11.65,0.343
PRD00385,Home,591.18,0.81,0.029
PRD00386,Fashion,738.37,8.98,0.021
PRD00387,Laptop,1191.47,18.63,0.299
PRD00388,Mobile,267.04,13.41,0.129
PRD00389,Home,450.56,22.29,0.048
PRD00390,Laptop,429.05,4.37,0.068
PRD00391,Electronics,2285.07,23.08,0.247
PRD00392,Electronics,5380.51,11.72,0.216
PRD00393,Home,380.49,16.74,0.355
PRD00394,Electronics,2728.38,5.37,0.302
PRD00395,Accessories,497.89,8.8,0.178
PRD00396,Electronics,8040.77,24.28,0.028
PRD00397,Beauty,970.51,14.21,0.372
PRD00398,Home,2768.5,11.46,0.494
PRD00399,Fashion,845.09,16.79,0.243
PRD00400,Grocery,1531.92,9.09,0.182
PRD00401,Accessories,968.89,14.93,0.401
PRD00402,Laptop,409.0,7.29,0.389
PRD00403,Accessories,296.37,19.7,0.305
PRD00404,Fashion,1466.71,23.88,0.151
PRD00405,Mobile,1142.58,11.42,0.439
PRD00406,Mobile,1555.5,4.03,0.236
PRD00407,Accessories,1379.24,1.16,0.49
PRD00408,Grocery,513.64,0.3,0.467
PRD00409,Accessories,2591.9,9.02,0.13
PRD00410,Fashion,1610.48,4.41,0.27
PRD00411,Mobile,1738.24,0.85,0.051
PRD00412,Laptop,826.44,5.47,0.05
PRD00413,Fashion,676.13,19.34,0.211
PRD00414,Mobile,5696.11,16.16,0.323
PRD00415,Beauty,557.95,10.88,0.439
PRD00416,Mobile,863.96,19.93,0.192
PRD00417,Home,950.55,4.99,0.433
PRD00418,Mobile,2583.53,12.39,0.223
PRD00419,Beauty,2013.33,13.8,0.112
PRD00420,Laptop,596.67,6.56,0.197
PRD00421,Beauty,3327.77,5.26,0.372
PRD00422,Fashion,1242.47,22.91,0.204
PRD00423,Accessories,813.06,20.45,0.055
PRD00424,Mobile,181.11,9.74,0.024
PRD00425,Beauty,1897.84,4.09,0.135
PRD00426,Electronics,1121.07,17.5,0.348
PRD00427,Grocery,345.25,1.76,0.119
PRD00428,Mobile,1690.54,16.01,0.155
PRD00429,Beauty,1471.66,1.34,0.053
PRD00430,Home,2603.65,7.09,0.291
PRD00431,Electronics,1359.47,9.16,0.325
PRD00432,Electronics,2909.07,19.65,0.186
PRD00433,Home,1186.74,4.01,0.278
PRD00434,Laptop,2101.92,19.16,0.297
PRD00435,Grocery,795.69,11.64,0.189
PRD00436,Home,1161.12,1.19,0.344
PRD00437,Home,729.24,14.48,0.226
PRD00438,Fashion,463.39,17.57,0.424
PRD00439,Accessories,716.88,4.73,0.255
PRD00440,Laptop,581.13,2.07,0.373
PRD00441,Accessories,1923.74,5.27,0.448
PRD00442,Laptop,314.8,3.51,0.347
PRD00443,Accessories,546.38,13.74,0.219
PRD00444,Fashion,344.3,13.13,0.343
PRD00445,Laptop,2515.89,10.49,0.021
PRD00446,Home,539.96,21.18,0.148
PRD00447,Mobile,1531.84,10.23,0.329
PRD00448,Home,1794.15,24.8,0.161
PRD00449,Electronics,433.83,21.8,0.281
PRD00450,Grocery,962.21,2.64,0.303
PRD00451,Mobile,237.36,0.57,0.116
PRD00452,Accessories,850.05,5.23,0.361
PRD00453,Home,1548.42,20.78,0.449
PRD00454,Laptop,3002.86,24.94,0.093
PRD00455,Electronics,259.98,9.7,0.32
PRD00456,Grocery,3222.38,12.65,0.407
PRD00457,Fashion,1454.81,24.14,0.054
PRD00458,Grocery,217.48,6.79,0.06
PRD00459,Home,2454.89,6.12,0.169
PRD00460,Beauty,803.54,21.42,0.084
PRD00461,Accessories,2055.43,18.55,0.186
PRD00462,Laptop,502.6,0.36,0.197
PRD00463,Fashion,2431.22,10.55,0.181
PRD00464,Home,2437.32,17.58,0.475
PRD00465,Fashion,654.17,24.07,0.309
PRD00466,Accessories,1917.42,2.9,0.175
PRD00467,Accessories,1847.42,13.28,0.077
PRD00468,Grocery,1504.22,3.18,0.17
PRD00469,Beauty,1023.02,19.45,0.236
PRD00470,Accessories,739.09,20.78,0.332
PRD00471,Fashion,693.55,8.81,0.274
PRD00472,Mobile,670.47,16.99,0.095
PRD00473,Home,1402.2,1.48,0.307
PRD00474,Mobile,751.55,15.06,0.496
PRD00475,Fashion,2824.57,2.33,0.439
PRD00476,Grocery,2549.02,8.07,0.163
PRD00477,Accessories,4762.13,7.43,0.391
PRD00478,Beauty,860.24,6.22,0.07
PRD00479,Home,1618.75,22.75,0.041
PRD00480,Grocery,1315.12,9.85,0.151
PRD00481,Mobile,660.72,10.33,0.481
PRD00482,Laptop,1042.04,14.22,0.116
PRD00483,Accessories,788.49,1.69,0.183
PRD00484,Beauty,2962.33,20.37,0.118
PRD00485,Mobile,424.14,22.46,0.154
PRD00486,Beauty,533.12,6.08,0.464
PRD00487,Grocery,1737.73,19.77,0.374
PRD00488,Laptop,501.77,13.3,0.262
PRD00489,Accessories,1699.57,19.84,0.112
PRD00490,Accessories,2312.43,24.16,0.369
PRD00491,Grocery,4814.88,16.03,0.403
PRD00492,Home,344.67,17.55,0.424
PRD00493,Electronics,362.22,4.8,0.263
PRD00494,Fashion,249.37,10.1,0.336
PRD00495,Fashion,2530.46,4.29,0.459
PRD00496,Home,1395.14,5.59,0.363
PRD00497,Grocery,5015.95,13.45,0.33
PRD00498,Electronics,1082.27,18.83,0.105
PRD00499,Beauty,2199.35,20.92,0.344
PRD00500,Fashion,813.42,7.7,0.111
PRD00501,Beauty,438.29,17.28,0.234
PRD00502,Grocery,4600.23,8.83,0.256
PRD00503,Grocery,1949.46,2.58,0.042
PRD00504,Accessories,1641.01,8.57,0.029
PRD00505,Grocery,3145.74,8.76,0.243
PRD00506,Grocery,1078.31,14.4,0.458
PRD00507,Fashion,1285.46,0.35,0.103
PRD00508,Electronics,1833.59,5.12,0.303
PRD00509,Fashion,727.91,7.31,0.259
PRD00510,Accessories,1348.82,19.31,0.179
PRD00511,Home,67.66,23.18,0.424
PRD00512,Beauty,143.01,21.46,0.092
PRD00513,Electronics,918.41,13.66,0.311
PRD00514,Fashion,2140.94,10.81,0.178
PRD00515,Accessories,1177.39,20.96,0.385
PRD00516,Grocery,292.61,12.8,0.178
PRD00517,Home,1457.82,23.03,0.165
PRD00518,Laptop,399.73,19.85,0.172
PRD00519,Home,456.76,5.73,0.062
PRD00520,Mobile,869.07,2.83,0.318
PRD00521,Beauty,629.68,23.43,0.303
PRD00522,Laptop,462.11,2.77,0.191
PRD00523,Electronics,594.77,20.5,0.012
PRD00524,Electronics,1732.71,12.11,0.179
PRD00525,Grocery,550.44,10.64,0.462
PRD00526,Mobile,543.69,16.35,0.07
PRD00527,Beauty,1563.74,0.5,0.46
PRD00528,Beauty,2664.72,1.28,0.309
PRD00529,Mobile,3997.97,21.22,0.071
PRD00530,Electronics,3636.99,13.41,0.291
PRD00531,Home,1857.55,12.57,0.382
PRD00532,Beauty,160.6,3.73,0.024
PRD00533,Home,936.58,19.81,0.167
PRD00534,Laptop,1580.17,0.2,0.116
PRD00535,Grocery,311.83,12.67,0.481
PRD00536,Home,2441.47,15.94,0.379
PRD00537,Fashion,14560.67,24.6,0.306
PRD00538,Laptop,668.87,13.59,0.438
PRD00539,Beauty,370.35,17.78,0.088
PRD00540,Beauty,135.57,3.34,0.313
PRD00541,Grocery,887.98,20.13,0.162
PRD00542,Home,389.09,18.58,0.171
PRD00543,Home,253.58,11.78,0.266
PRD00544,Electronics,644.35,23.57,0.241
PRD00545,Electronics,1185.58,7.23,0.395
PRD00546,Electronics,2432.39,8.13,0.449
PRD00547,Mobile,1406.02,12.08,0.307
PRD00548,Grocery,631.93,2.87,0.486
PRD00549,Accessories,492.75,22.25,0.232
PRD00550,Electronics,2436.25,4.73,0.221
PRD00551,Laptop,2786.08,0.63,0.441
PRD00552,Fashion,488.69,10.87,0.065
PRD00553,Fashion,655.46,15.61,0.153
PRD00554,Electronics,507.02,9.6,0.373
PRD00555,Home,3009.86,19.41,0.402
PRD00556,Home,1485.89,4.53,0.136
PRD00557,Electronics,949.44,21.27,0.012
PRD00558,Fashion,971.43,15.73,0.438
PRD00559,Mobile,1182.59,16.71,0.101
PRD00560,Grocery,1681.15,24.61,0.372
PRD00561,Grocery,1310.98,15.49,0.101
PRD00562,Laptop,21086.76,14.97,0.044
PRD00563,Fashion,3236.0,9.0,0.054
PRD00564,Mobile,5002.16,13.8,0.224
PRD00565,Mobile,634.45,1.62,0.052
PRD00566,Mobile,263.43,3.69,0.281
PRD00567,Grocery,511.89,15.8,0.302
PRD00568,Electronics,587.67,8.52,0.469
PRD00569,Electronics,406.79,22.23,0.354
PRD00570,Laptop,792.14,18.75,0.426
PRD00571,Mobile,1581.49,5.77,0.312
PRD00572,Grocery,1497.88,16.92,0.153
PRD00573,Home,1224.64,7.76,0.405
PRD00574,Fashion,2624.0,16.14,0.313
PRD00575,Beauty,974.48,4.13,0.46
PRD00576,Grocery,3430.79,21.65,0.132
PRD00577,Electronics,2436.8,24.31,0.39
PRD00578,Fashion,715.66,1.4,0.21
PRD00579,Fashion,944.06,16.93,0.028
PRD00580,Accessories,3699.78,5.37,0.382
PRD00581,Home,431.3,4.94,0.096
PRD00582,Mobile,730.09,8.75,0.295
PRD00583,Fashion,4197.11,13.07,0.175
PRD00584,Accessories,3008.79,13.4,0.091
PRD00585,Grocery,479.64,21.01,0.09
PRD00586,Fashion,673.34,18.7,0.043
PRD00587,Grocery,2830.69,2.6,0.388
PRD00588,Mobile,1939.61,14.69,0.346
PRD00589,Home,592.59,19.97,0.393
PRD00590,Grocery,1649.18,16.21,0.257
PRD00591,Fashion,1519.17,11.3,0.218
PRD00592,Accessories,213.41,20.71,0.335
PRD00593,Fashion,3559.27,23.58,0.21
PRD00594,Home,985.83,3.47,0.461
PRD00595,Grocery,1009.91,16.25,0.054
PRD00596,Electronics,1659.93,1.26,0.056
PRD00597,Accessories,914.88,16.42,0.282
PRD00598,Grocery,3693.26,4.93,0.409
